date,direction,num_calls,duration_raw,duration_sec,notes
2026-05-24,Outgoing,1,,,
2026-05-19,Incoming,1,2m,120,
2026-05-18,Incoming,1,3m,180,
2026-05-14,Incoming,1,1m,60,
2026-05-12,Incoming,1,12m,720,
2026-05-10,Incoming,2,6m,360,
2026-05-07,Outgoing,3,,,
2026-05-04,Outgoing,1,3m,180,
2026-04-28,Incoming,1,2m5s,125,
2026-04-26,Outgoing,4,7m3s,423,
2026-04-23,Incoming,1,42s,42,
2026-04-16,Incoming,5,7m,420,
2026-04-14,Incoming,6,4m,240,
2026-04-13,Outgoing,2,,,
2026-04-12,Incoming,3,4m,240,
2026-04-11,Outgoing,1,,,
2026-04-09,Incoming,1,3m4s,184,
2026-04-07,Incoming,2,,,
2026-04-05,Incoming,1,2s,2,
2026-03-23,Outgoing,2,14m,840,
2026-03-17,Incoming,2,2m,120,
2026-03-15,Incoming,1,,,
2026-03-12,Incoming,6,6m,360,
2026-03-11,Incoming,2,,,
2026-03-10,Incoming,2,,,
2026-03-05,Incoming,3,,,
2026-03-04,Incoming,1,4m,240,
2026-03-01,Incoming,2,12m,720,
2026-02-24,Incoming,2,1m,60,
2026-02-19,Incoming,1,2m,120,
2026-02-17,Incoming,2,8m7s,487,
2026-02-16,Outgoing,5,11m,660,
2026-02-15,Outgoing,3,5m,300,
2026-02-14,Incoming,3,8m,480,
2026-02-12,Incoming,1,3m,180,
2026-02-10,Incoming,2,1m,60,
2026-02-09,Incoming,5,9m,540,
2026-02-08,Outgoing,1,3m,180,
2026-02-05,Incoming,2,7m1s,421,
2026-02-03,Outgoing,1,1m,60,
2026-02-01,Incoming,1,2m,120,
2026-01-29,Outgoing,1,5m,300,
2026-01-27,Incoming,3,7m,420,
2026-01-18,Incoming,2,1m,60,
2026-01-17,Incoming,2,3m,180,
2026-01-15,Outgoing,1,1m,60,
2026-01-13,Incoming,1,7m,420,
2026-01-08,Outgoing,1,4m,240,
2026-01-06,Incoming,1,9m,540,
2026-01-01,Incoming,1,0s,0,
2025-12-24,Incoming,1,0s,0,
2025-12-21,Outgoing,1,,,
2025-12-16,Incoming,1,2s,2,
2025-12-11,Incoming,1,,,
2025-12-09,Incoming,1,0s,0,
2025-11-30,Incoming,4,10m,600,
2025-11-29,Incoming,1,,,
2025-11-27,Incoming,3,11m,660,
2025-11-16,Incoming,1,4m,240,
2025-11-08,Incoming,1,22s,22,
2025-10-26,Incoming,1,4m,240,
2025-10-17,Incoming,2,9m,540,
2025-10-16,Incoming,1,0s,0,
2025-09-21,Outgoing,2,8m4s,484,
2025-08-28,Outgoing,1,4m,240,
